method,backbone,n_way,k_shot,split,loss_mean,acc_mean,acc_std,inf_ms_mean,n_episodes,timestamp
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,test,3809.204504057169,19.679999398067594,4.483034582167597,0.9154327766038477,200,2026-07-25T15:00:34.388940+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,test,6793454.248113236,20.98999948054552,5.451596051488193,0.9488410986003146,200,2026-07-25T15:11:32.801083+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,5,test,3.894974911212921,21.739999439567327,5.408548665628723,0.9216813173014089,200,2026-07-25T19:03:13.009280+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,5,test,26.96011719107628,21.709999430924654,4.7260870278979,0.9387543268996523,200,2026-07-25T19:13:52.128187+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,10,test,2.5440847676992417,21.649999372661114,4.483023420223706,0.9908512313035317,200,2026-07-25T23:05:10.675130+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,10,test,1.8244932568073273,20.969999343156815,4.5165362023116336,0.9486831736954627,200,2026-07-25T23:15:41.930608+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,7,1,test,51350.80197337031,14.10000041499734,3.5637346464773865,0.6629328620037995,200,2026-07-26T03:13:49.265293+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,7,1,test,114919.1365873897,14.621428989805281,4.025372373906128,0.6705798924314357,200,2026-07-26T03:22:11.018549+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,7,5,test,10.188921418786048,16.09285757690668,4.2051414347462925,0.6749887346481306,200,2026-07-26T07:24:42.157978+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,7,5,test,7.1624796396493915,15.614286165684462,4.329561469715712,0.6761510357911382,200,2026-07-26T07:32:09.572020+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,7,10,test,1.971278784275055,16.51428615115583,4.258580777511631,0.6736814496434818,200,2026-07-26T18:18:14.281585+00:00
protonet,tf_efficientnetv2_s.in21k,5,1,test,0.06506583650196035,97.69999870657921,4.954796302128037,2.3057598677019997,200,2026-07-26T22:26:38.502614+00:00
protonet,tf_efficientnetv2_s.in21k,5,5,test,0.027201446485412718,98.98999890685081,2.668315017946387,2.2895667221026086,200,2026-07-27T02:33:52.562701+00:00
protonet,tf_efficientnetv2_s.in21k,5,10,test,0.025951195062262223,98.9899990260601,2.6305710157931514,2.265935015101422,200,2026-07-27T06:46:09.770190+00:00
protonet,tf_efficientnetv2_s.in21k,7,1,test,0.06972031681248154,97.25000068545341,5.044572128645474,1.7141506310092933,200,2026-07-27T11:16:20.787400+00:00
protonet,tf_efficientnetv2_s.in21k,7,5,test,0.03612253268996937,98.66428679227829,2.6266973964238685,1.617382040436496,200,2026-07-27T15:42:33.431836+00:00
protonet,tf_efficientnetv2_s.in21k,7,10,test,0.031396699047634424,98.92857199907303,2.4815645458177564,1.6577552670009288,200,2026-07-28T08:56:25.482884+00:00
protonet,wide_resnet50_2,5,1,test,1.447093750531467,94.79999792575836,7.099296025178763,1.0565911469006095,200,2026-07-28T13:15:35.953861+00:00
protonet,wide_resnet50_2,5,5,test,0.07870899317542353,97.26999819278717,3.9149846713061485,1.0502439159950883,200,2026-07-28T17:30:41.587578+00:00
protonet,wide_resnet50_2,5,10,test,0.059471256201523486,97.99999836087227,3.5099864491589035,1.058517922498868,200,2026-07-28T21:55:27.939525+00:00
protonet,wide_resnet50_2,7,1,test,0.14564852360210354,96.17857250571251,5.287524261138295,0.7495063990136259,200,2026-07-29T02:23:53.213540+00:00
protonet,wide_resnet50_2,7,5,test,0.0913576623363042,97.31428694725037,3.1120568985480115,0.7487002736400297,200,2026-07-29T06:56:43.408818+00:00
protonet,wide_resnet50_2,7,10,test,0.07894344704767718,97.57142987847328,3.0739194231006146,0.7459352950718312,200,2026-07-29T21:54:33.285388+00:00
siamese,mobilenetv4_conv_small.e2400_r224_in1k,5,1,test,4.444915103912353,21.059999456629157,5.596105760738815,0.016669958794955163,200,2026-07-30T01:47:28.308554+00:00
siamese,mobilenetv4_conv_small.e2400_r224_in1k,5,5,test,2.1442549204826356,22.099999364465475,5.399073905599951,0.01946101268840721,200,2026-07-30T05:50:48.325779+00:00
siamese,mobilenetv4_conv_small.e2400_r224_in1k,5,10,test,1.3233582985401153,24.77999939583242,6.5872299432283254,0.018177468400244833,200,2026-07-30T21:42:26.155645+00:00
siamese,mobilenetv4_conv_small.e2400_r224_in1k,7,1,test,2.820038957595825,15.835714707151055,4.5798527749324105,0.015663945146245948,200,2026-07-31T01:54:10.410944+00:00
siamese,mobilenetv4_conv_small.e2400_r224_in1k,7,5,test,2.1709994077682495,15.0000004414469,3.703280446728816,0.016092726356873754,200,2026-07-31T06:03:56.772428+00:00
siamese,mobilenetv4_conv_small.e2400_r224_in1k,7,10,test,1.2608783960342407,17.171429047361016,4.7936183110093715,0.022110604081327825,200,2026-07-31T10:21:43.331851+00:00
siamese,tf_efficientnetv2_s.in21k,5,1,test,0.2646697974950075,94.71999807655811,7.045679825781437,0.018832998395373578,200,2026-07-31T14:30:09.096627+00:00
siamese,tf_efficientnetv2_s.in21k,5,5,test,0.24883917910978198,98.41999870538712,3.4732701378582918,0.018702836305601524,200,2026-07-31T18:40:41.995744+00:00
siamese,tf_efficientnetv2_s.in21k,5,10,test,0.2094056214392185,97.7299984395504,3.7184813998410435,0.01845019127649721,200,2026-07-31T22:45:20.746058+00:00
siamese,tf_efficientnetv2_s.in21k,7,1,test,0.15204236136749386,95.6571438908577,5.712214441989677,0.01460098528585669,200,2026-08-01T08:26:01.199005+00:00
siamese,tf_efficientnetv2_s.in21k,7,5,test,0.17619281712919474,95.77142956852913,5.541752736164544,0.014697044925404563,200,2026-08-01T12:48:05.099716+00:00
siamese,tf_efficientnetv2_s.in21k,7,10,test,0.14318903661333024,97.17857232689857,4.39488939513537,0.02012626750261656,200,2026-08-01T17:11:49.345458+00:00
siamese,wide_resnet50_2,5,1,test,0.28891186393797397,93.00999769568443,8.082072819479446,0.018519031004689167,200,2026-08-01T21:26:31.077190+00:00
siamese,wide_resnet50_2,5,5,test,0.17300651291385294,97.88999873399734,4.4774885768471275,0.018451968088629655,200,2026-08-02T01:56:56.487011+00:00
siamese,wide_resnet50_2,5,10,test,0.16645782214589416,98.09999832510948,3.7934160014823224,0.02023354520351859,200,2026-08-02T06:24:11.959932+00:00
siamese,wide_resnet50_2,7,1,test,0.18547126768156885,93.67857238650322,6.959705906066484,0.015500241071484715,200,2026-08-02T10:47:03.411761+00:00
siamese,wide_resnet50_2,7,5,test,0.18080793922767044,95.55714392662048,5.344824663995603,0.016973507639444763,200,2026-08-02T15:16:34.055542+00:00
siamese,wide_resnet50_2,7,10,test,0.10997082182206214,97.40000090003014,4.407229936071596,0.02634041942837939,200,2026-08-02T21:31:49.182806+00:00
relationnet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,test,0.18285668469965458,20.1799991466105,2.7216906989459293,1.0007952481973916,200,2026-08-03T16:56:12.237105+00:00
